id,retweet_count,favorite_count
756939218950160384,1910,6416
756651752796094464,1241,4868
756526248105566208,3431,10038
756303284449767430,1056,3801
756288534030475264,16945,42546
756275833623502848,1464,6157
755955933503782912,2741,7054
755206590534418437,5105,15859
755110668769038337,10600,20428
754874841593970688,7554,0
754856583969079297,2395,6663
754747087846248448,497,2498
754482103782404096,1870,5097
754449512966619136,697,3613
754120377874386944,2244,7610
753655901052166144,2077,5626
753420520834629632,3389,7595
753398408988139520,1814,5530
753375668877008896,2220,7369
753298634498793472,5424,0
753294487569522689,992,3239
753039830821511168,19928,35742
753026973505581056,912,3777
752932432744185856,6541,12154
752917284578922496,1496,6705
752701944171524096,2735,0
752682090207055872,1518,5800
752660715232722944,1486,4218
752568224206688256,2173,5294
752519690950500352,3279,7097
752334515931054080,1049,3687
752309394570878976,15469,0
752173152931807232,1745,5744
751950017322246144,870,2948
751937170840121344,1252,4991
751830394383790080,1859,5605
751793661361422336,2753,5585
751598357617971201,2917,7671
751583847268179968,1047,4234
751538714308972544,1196,4857
751456908746354688,956,3098
751251247299190784,5594,12081
751205363882532864,1727,6088
751132876104687617,1234,4872
750868782890057730,1294,4604
750719632563142656,4781,12671
750506206503038976,1093,4276
750429297815552001,4075,12701
750383411068534784,1090,4391
750381685133418496,27,672
750147208377409536,915,3002
750132105863102464,1229,3488
750117059602808832,1249,4189
750101899009982464,807,2938
750086836815486976,508,2096
750071704093859840,3158,7520
750056684286914561,856,3055
750041628174217216,582,3057
750026558547456000,747,2618
750011400160841729,862,3112
749996283729883136,779,2941
749981277374128128,2358,4927
749774190421639168,1264,4503
749417653287129088,1561,5885
749403093750648834,503,2515
749395845976588288,3275,8246
749317047558017024,2133,5268
749075273010798592,1970,5536
749064354620928000,1458,4629
749036806121881602,755,2979
748977405889503236,3239,10349
748932637671223296,2143,5573
748705597323898880,913,2677
748699167502000129,1511,4566
748692773788876800,1272,4071
748575535303884801,1895,5841
748568946752774144,642,2121
748346686624440324,1172,5022
748337862848962560,3902,7312
748324050481647620,719,3555
748307329658011649,678,3558
748220828303695873,7392,13590
747963614829678593,2033,5560
747933425676525569,2431,6355
747885874273214464,924,2813
747844099428986880,709,2719
747816857231626240,1107,4650
747651430853525504,147,1316
747648653817413632,5543,12381
747600769478692864,539,2252
747594051852075008,991,3532
747512671126323200,1533,5304
747461612269887489,994,3721
747439450712596480,1819,5202
747242308580548608,2758,0
747219827526344708,1489,5048
747204161125646336,865,3225
747103485104099331,3762,9167
746906459439529985,280,2792
746872823977771008,2026,5754
746818907684614144,1659,5114
746790600704425984,1521,4678
746757706116112384,3714,9169
746726898085036033,1704,5811
746542875601690625,1804,4842
746521445350707200,937,0
746507379341139972,1036,4476
746369468511756288,1549,5963
746131877086527488,2083,6606
746056683365994496,774,3427
745789745784041472,1007,3831
745712589599014916,2206,6718
745433870967832576,2411,6777
745422732645535745,2296,8208
745314880350101504,2597,6855
745074613265149952,3313,7521
745057283344719872,2127,6955
744995568523612160,583,2843
744971049620602880,2539,7554
744709971296780288,1490,5379
744334592493166593,1997,6493
744234799360020481,73615,149544
744223424764059648,341,1582
743980027717509120,1041,4005
743895849529389061,920,3506
743835915802583040,1959,0
743609206067040256,1317,4297
743595368194129920,6191,17562
743545585370791937,893,3390
743510151680958465,3540,7616
743253157753532416,1160,4060
743222593470234624,1820,5945
743210557239623680,1291,3679
742534281772302336,3395,6764
742528092657332225,1857,4231
742465774154047488,3725,6949
742423170473463808,3543,9417
742385895052087300,1860,6517
742161199639494656,1295,4115
742150209887731712,1463,4877
741793263812808706,1423,4350
741743634094141440,2603,7813
741438259667034112,774,3529
741303864243200000,3043,8408
741099773336379392,5243,9558
741067306818797568,2923,9132
740995100998766593,2572,6067
740711788199743490,898,3246
740699697422163968,741,2726
740676976021798912,6467,17374
740373189193256964,12615,33547
740365076218183684,404,2346
740359016048689152,814,3136
740214038584557568,1859,6392
739979191639244800,5590,19086
739932936087216128,1020,3879
739844404073074688,814,3632
739623569819336705,1287,3601
739606147276148736,1564,5167
739544079319588864,20051,37677
739485634323156992,2750,6813
739238157791694849,54879,110657
738891149612572673,6,99
738885046782832640,1083,3601
738883359779196928,744,3145
738537504001953792,1452,4863
738402415918125056,777,3112
738184450748633089,1151,4115
738166403467907072,3151,8361
738156290900254721,611,2389
737826014890496000,1672,5026
737800304142471168,3285,9553
737678689543020544,1247,4795
737445876994609152,4210,9775
737322739594330112,769,3437
737310737551491075,7011,13996
736736130620620800,1623,4042
736392552031657984,6942,16911
736365877722001409,1169,3797
736225175608430592,2644,7742
736010884653420544,2798,7522
735991953473572864,1077,3420
735648611367784448,1047,3862
735635087207878657,2225,5883
735274964362878976,4736,12452
735256018284875776,831,3175
735137028879360001,919,2987
734912297295085568,499,2629
734787690684657664,5971,11955
734776360183431168,504,2396
734559631394082816,374,1421
733828123016450049,739,3410
733822306246479872,971,3508
733482008106668032,891,2980
733460102733135873,1182,3987
733109485275860992,16148,50975
732732193018155009,504,2317
732726085725589504,836,3397
732585889486888962,739,3481
732375214819057664,2367,7716
732005617171337216,5068,14169
